Gene,Btz1,Btz2,X3MA1,X3MA2,Comb1,Comb2,DMSO1,DMSO2,Avg_Btz,Avg_3MA,Avg_Comb,Avg_DMSO,Btz/DMSO,3MA/DMSO,Comb/DMSO,plasma membrane [GO:0005886],cytosol [GO:0005829],extracellular exosome [GO:0070062],mitochondrion [GO:0005739],endosome [GO:0005768],Golgi apparatus [GO:0005794],lysosome [GO:0005764],nucleolus [GO:0005730],nucleoplasm [GO:0005654],endoplasmic reticulum [GO:0005783],peroxisome [GO:0005777],cytoskeleton [GO:0005856],centrosome [GO:0005813],spliceosomal complex [GO:0005681],proteasome complex [GO:0000502],ribosome [GO:0005840],vacuole [GO:0005773]
ACAP2,20199006.23,19773013.49,12787141.63,13651596.94,14177437.81,14908636.31,20673128.54,21472285.68,19986009.86,13219369.29,14543037.06,21072707.11,0.948431056,0.627321835,0.690136155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAP3,1500743.259,1530883.769,1295955.146,1386434.925,1082504.021,1178958.137,1843421.812,1832762.282,1515813.514,1341195.036,1130731.079,1838092.047,0.824666815,0.72966696,0.615165645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAT1,27804055,29521964.83,36072302.77,30640780.95,19866903.82,22428999.38,35629597.23,38708472.73,28663009.91,33356541.86,21147951.6,37169034.98,0.771152922,0.897428246,0.568966927,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
ACAT2,979852.7996,880824.2655,778514.396,909594.0403,688958.2981,747777.8043,1106896.628,1138061.648,930338.5326,844054.2181,718368.0512,1122479.138,0.828824787,0.751955372,0.639983432,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACBD3,101742850.6,95530060.51,62859029.38,63507994.66,66219779.89,72406901.03,107122825.3,104489384.2,98636455.53,63183512.02,69313340.46,105806104.8,0.932237849,0.597163199,0.655097743,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ACBD5,12621056.11,12319467.48,8158172.981,8920637.922,9163070.752,9489326.272,15090404.01,15100860.49,12470261.79,8539405.451,9326198.512,15095632.25,0.826084101,0.565687168,0.617807744,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
ACBD6,2709183.386,2734872.41,1867632.586,1803394.154,1875932.299,1940219.878,3032819.914,2966858.913,2722027.898,1835513.37,1908076.089,2999839.414,0.907391204,0.611870543,0.63605941,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACIN1,13836020.7,14160227.1,10961658.84,10009879.85,9368216.109,10492699.68,18934095.15,18422711.17,13998123.9,10485769.34,9930457.894,18678403.16,0.749428298,0.561384678,0.531654543,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ACLY,70535248.71,66899960.43,58136295.5,62863728.37,51218550.12,54341117.87,82160068.5,86594993.9,68717604.57,60500011.94,52779833.99,84377531.2,0.814406437,0.717015668,0.625520008,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ACO1,3520539.19,3357959.85,3335558.752,3545245.253,2803355.687,2805532.688,4537346.902,4741671.926,3439249.52,3440402.003,2804444.188,4639509.414,0.741295946,0.741544352,0.604469985,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
